id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee,features/floorCount,lastSaleDate,lastSalePrice,history/2025-06-30/event,history/2025-06-30/date
"201-Desert-Pass-St,-Unit-29,-El-Paso,-TX-79912","201 Desert Pass St, Unit 29, El Paso, TX 79912",201 Desert Pass St,Unit 29,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,2.5,1787,1742,2025,220,,,,,
"201-Desert-Pass-St,-Unit-31,-El-Paso,-TX-79912","201 Desert Pass St, Unit 31, El Paso, TX 79912",201 Desert Pass St,Unit 31,El Paso,TX,48,79912,El Paso,141,31.835972,-106.559218,Townhouse,3,2.5,1787,1742,2025,220,,,,,
"8945-Robert-Dr,-Unit-C,-El-Paso,-TX-79904","8945 Robert Dr, Unit C, El Paso, TX 79904",8945 Robert Dr,Unit C,El Paso,TX,48,79904,El Paso,141,31.866405,-106.434729,Townhouse,2,2,1300,,2023,,,,,,
"1060-Hoppas-St,-Unit-D,-El-Paso,-TX-79932","1060 Hoppas St, Unit D, El Paso, TX 79932",1060 Hoppas St,Unit D,El Paso,TX,48,79932,El Paso,141,31.88768,-106.628441,Townhouse,3,2.5,1395,,2023,,,,,,
"8761-Lawson-St,-Unit-2,-El-Paso,-TX-79904","8761 Lawson St, Unit 2, El Paso, TX 79904",8761 Lawson St,Unit 2,El Paso,TX,48,79904,El Paso,141,31.862438,-106.438042,Townhouse,2,1,984,,2023,,,,,,
"8761-Lawson-St,-Unit-4,-El-Paso,-TX-79904","8761 Lawson St, Unit 4, El Paso, TX 79904",8761 Lawson St,Unit 4,El Paso,TX,48,79904,El Paso,141,31.862438,-106.438042,Townhouse,2,1,984,,2023,,,,,,
"8945-Robert-Dr,-Unit-D,-El-Paso,-TX-79904","8945 Robert Dr, Unit D, El Paso, TX 79904",8945 Robert Dr,Unit D,El Paso,TX,48,79904,El Paso,141,31.866515,-106.434783,Townhouse,2,2,1300,,2023,,,,,,
"517-Val-Verde-St,-Unit-B,-El-Paso,-TX-79905","517 Val Verde St, Unit B, El Paso, TX 79905",517 Val Verde St,Unit B,El Paso,TX,48,79905,El Paso,141,31.760235,-106.433083,Townhouse,2,2,1200,,2024,,,,,,
"51050-Sage-Ct,-El-Paso,-TX-79934","51050 Sage Ct, El Paso, TX 79934",51050 Sage Ct,,El Paso,TX,48,79934,El Paso,141,31.950137,-106.416534,Townhouse,3,2.5,1625,,2024,,,,,,
"51058-Sage-Ct,-El-Paso,-TX-79934","51058 Sage Ct, El Paso, TX 79934",51058 Sage Ct,,El Paso,TX,48,79934,El Paso,141,31.950137,-106.416534,Townhouse,3,2.5,1625,,2024,,,,,,
"4626-Maxwell-Ave-Unit-C,-El-Paso,-TX-79904","4626 Maxwell Ave Unit C, El Paso, TX 79904",4626 Maxwell Ave Unit C,,El Paso,TX,48,79904,El Paso,141,31.867226,-106.43438,Townhouse,2,1,675,,2023,,,,,,
"4626-Maxwell-Ave-Unit-D,-El-Paso,-TX-79904","4626 Maxwell Ave Unit D, El Paso, TX 79904",4626 Maxwell Ave Unit D,,El Paso,TX,48,79904,El Paso,141,31.867226,-106.43438,Townhouse,2,1,675,,2023,,,,,,
