id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee
"15273-Composition-Ave,-El-Paso,-TX-79938","15273 Composition Ave, El Paso, TX 79938",15273 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.804791,-106.190203,Single Family,3,2,1723,5227,2025,
"15252-Concentrate-Ave,-El-Paso,-TX-79938","15252 Concentrate Ave, El Paso, TX 79938",15252 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805593,-106.190796,Single Family,4,2,1635,5335,2025,
"3745-Surmise-St,-El-Paso,-TX-79938","3745 Surmise St, El Paso, TX 79938",3745 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.803952,-106.19919,Single Family,4,2.5,2142,5927,2025,
"3737-Surmise-St,-El-Paso,-TX-79938","3737 Surmise St, El Paso, TX 79938",3737 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.804426,-106.199147,Single Family,3,2,1593,5925,2025,
"3741-Surmise-St,-El-Paso,-TX-79938","3741 Surmise St, El Paso, TX 79938",3741 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.803824,-106.199179,Single Family,4,2.5,1788,5227,2025,
"15212-Ambition,-El-Paso,-TX-79938","15212 Ambition, El Paso, TX 79938",15212 Ambition,,El Paso,TX,48,79938,El Paso,141,31.811779,-106.17667,Single Family,4,2,1501,,2025,
"15240-Concentrate-Ave,-El-Paso,-TX-79938","15240 Concentrate Ave, El Paso, TX 79938",15240 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805592,-106.190834,Single Family,3,2,1723,5227,2025,
"15265-Composition-Ave,-El-Paso,-TX-79938","15265 Composition Ave, El Paso, TX 79938",15265 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.8048,-106.190813,Single Family,4,2.5,1788,5335,2025,
"15257-Composition-Ave,-El-Paso,-TX-79938","15257 Composition Ave, El Paso, TX 79938",15257 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.804791,-106.190673,Single Family,3,2,1723,5335,2025,
"15244-Concentrate-Ave,-El-Paso,-TX-79938","15244 Concentrate Ave, El Paso, TX 79938",15244 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805565,-106.190802,Single Family,3,2,1593,5335,2025,
